Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[read1 file]	Comment[read2 file]	Factor Value[time]	Unit[time unit]	Term Source REF	Term Accession Number
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S4_L002	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S4_L002_R1_001.fastq.gz	UC-2915-Sample1_S4_L002_R1_001.fastq.gz	ERR6131695	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/005/ERR6131695/ERR6131695_1.fastq.gzUC-2915-Sample1_S4_L002_R1_001.fastq.gz	UC-2915-Sample1_S4_L002_R1_001.fastq.gz	UC-2915-Sample1_S4_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 1	ERS7007749	SAMEA9273528	Homo sapiens	sample1	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 1	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample1_S4_L002	group 1	sequencing assay	ERX5768853	UC-2915-Sample1_S4_L002_R2_001.fastq.gz	UC-2915-Sample1_S4_L002_R2_001.fastq.gz	ERR6131695	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/005/ERR6131695/ERR6131695_2.fastq.gzUC-2915-Sample1_S4_L002_R2_001.fastq.gz	UC-2915-Sample1_S4_L002_R1_001.fastq.gz	UC-2915-Sample1_S4_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S5_L001	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S5_L001_R1_001.fastq.gz	UC-2915-Sample2_S5_L001_R1_001.fastq.gz	ERR6131696	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/006/ERR6131696/ERR6131696_1.fastq.gzUC-2915-Sample2_S5_L001_R1_001.fastq.gz	UC-2915-Sample2_S5_L001_R1_001.fastq.gz	UC-2915-Sample2_S5_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S5_L001	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S5_L001_R2_001.fastq.gz	UC-2915-Sample2_S5_L001_R2_001.fastq.gz	ERR6131696	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/006/ERR6131696/ERR6131696_2.fastq.gzUC-2915-Sample2_S5_L001_R2_001.fastq.gz	UC-2915-Sample2_S5_L001_R1_001.fastq.gz	UC-2915-Sample2_S5_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S5_L002	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S5_L002_R1_001.fastq.gz	UC-2915-Sample2_S5_L002_R1_001.fastq.gz	ERR6131697	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/007/ERR6131697/ERR6131697_1.fastq.gzUC-2915-Sample2_S5_L002_R1_001.fastq.gz	UC-2915-Sample2_S5_L002_R1_001.fastq.gz	UC-2915-Sample2_S5_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S5_L002	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S5_L002_R2_001.fastq.gz	UC-2915-Sample2_S5_L002_R2_001.fastq.gz	ERR6131697	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/007/ERR6131697/ERR6131697_2.fastq.gzUC-2915-Sample2_S5_L002_R2_001.fastq.gz	UC-2915-Sample2_S5_L002_R1_001.fastq.gz	UC-2915-Sample2_S5_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S6_L001	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S6_L001_R1_001.fastq.gz	UC-2915-Sample2_S6_L001_R1_001.fastq.gz	ERR6131698	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/008/ERR6131698/ERR6131698_1.fastq.gzUC-2915-Sample2_S6_L001_R1_001.fastq.gz	UC-2915-Sample2_S6_L001_R1_001.fastq.gz	UC-2915-Sample2_S6_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S6_L001	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S6_L001_R2_001.fastq.gz	UC-2915-Sample2_S6_L001_R2_001.fastq.gz	ERR6131698	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/008/ERR6131698/ERR6131698_2.fastq.gzUC-2915-Sample2_S6_L001_R2_001.fastq.gz	UC-2915-Sample2_S6_L001_R1_001.fastq.gz	UC-2915-Sample2_S6_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S6_L002	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S6_L002_R1_001.fastq.gz	UC-2915-Sample2_S6_L002_R1_001.fastq.gz	ERR6131699	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/009/ERR6131699/ERR6131699_1.fastq.gzUC-2915-Sample2_S6_L002_R1_001.fastq.gz	UC-2915-Sample2_S6_L002_R1_001.fastq.gz	UC-2915-Sample2_S6_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S6_L002	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S6_L002_R2_001.fastq.gz	UC-2915-Sample2_S6_L002_R2_001.fastq.gz	ERR6131699	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/009/ERR6131699/ERR6131699_2.fastq.gzUC-2915-Sample2_S6_L002_R2_001.fastq.gz	UC-2915-Sample2_S6_L002_R1_001.fastq.gz	UC-2915-Sample2_S6_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S7_L001	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S7_L001_R1_001.fastq.gz	UC-2915-Sample2_S7_L001_R1_001.fastq.gz	ERR6131700	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/000/ERR6131700/ERR6131700_1.fastq.gzUC-2915-Sample2_S7_L001_R1_001.fastq.gz	UC-2915-Sample2_S7_L001_R1_001.fastq.gz	UC-2915-Sample2_S7_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S7_L001	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S7_L001_R2_001.fastq.gz	UC-2915-Sample2_S7_L001_R2_001.fastq.gz	ERR6131700	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/000/ERR6131700/ERR6131700_2.fastq.gzUC-2915-Sample2_S7_L001_R2_001.fastq.gz	UC-2915-Sample2_S7_L001_R1_001.fastq.gz	UC-2915-Sample2_S7_L001_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S7_L002	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S7_L002_R1_001.fastq.gz	UC-2915-Sample2_S7_L002_R1_001.fastq.gz	ERR6131701	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/001/ERR6131701/ERR6131701_1.fastq.gzUC-2915-Sample2_S7_L002_R1_001.fastq.gz	UC-2915-Sample2_S7_L002_R1_001.fastq.gz	UC-2915-Sample2_S7_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
Sample 2	ERS7007750	SAMEA9273529	Homo sapiens	sample2	77	year	male	adult	glioblastoma multiforme	BFP expressing lentivirus	brain	glial brain cell	U3065MG	cell	P-MTAB-111272	P-MTAB-111273	P-MTAB-111274	Sample 2	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	300	50	5'-3'-3'-5'	read 2	0	91	0	read 1	16	3 prime tag	polyA RNA	10xV3	oligo-dT	10x	none	16	read 1	12	P-MTAB-111275	SciLifeLab - SNP&SEQ, NGI 	UC-2915-Sample2_S7_L002	group 2	sequencing assay	ERX5768854	UC-2915-Sample2_S7_L002_R2_001.fastq.gz	UC-2915-Sample2_S7_L002_R2_001.fastq.gz	ERR6131701	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR613/001/ERR6131701/ERR6131701_2.fastq.gzUC-2915-Sample2_S7_L002_R2_001.fastq.gz	UC-2915-Sample2_S7_L002_R1_001.fastq.gz	UC-2915-Sample2_S7_L002_R2_001.fastq.gz	7	day	EFO	UO_0000033
